City,Partner Name,Address,Latitude,Longitude,Avarage Rating,Phone Number
Kuala-lumpur,Crazy Monkey Defense : Boxing ,"9 Jalan Riong, Bangsar, Kuala Lumpur 59100",3.127443,101.674112,5.0,""
Kuala-lumpur,Yoga Deep ,"Lot No.516, No.31 Jalan Cinta Alam, Country Height, 43000 Kajang ,Malaysia.",2.9935941,101.7431581,5.0,""
Kuala-lumpur,Marriott Putrajaya ,"Putrajaya Marriott Hotel, IOI Resort City, 62502, Sepang Utara, Malaysia.",2.970078,101.706476,5.0,""
Kuala-lumpur,Physique for You ,"Unit 28 & 30 - 2, Plaza Damansara, Jalan Medan Setia 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.149101,101.653269,5.0,""
Kuala-lumpur,Crazy Monkey Defense : Brazilian Jiu Jitsu (Monkey Jits) ,"9 Jalan Riong, Bangsar, Kuala Lumpur 59100",3.127443,101.674112,5.0,""
Kuala-lumpur,Amare Dance Academy ,88 Jalan Sungai Besi Pudu 55200 Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,3.129572,101.712849,5.0,""
Kuala-lumpur,OTC DANCE ACADEMY ,"14-2, Block B, Jalan BK 5A/2C, Bandar Kinrara, 47180 Puchong, Selangor. Puchong",3.047182,101.646357,5.0,60163116765
Kuala-lumpur,Ultimate Gym ,"12-2, Jalan Wangsa Delima 6, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.197607,101.745259,5.0,""
Kuala-lumpur,Dance Floor ,"10, Jalan Batu Nilam 3, Bandar Bukit Tinggi 1, 41200 Klang, Selangor",3.008032,101.43473,5.0,60192787950
Kuala-lumpur,One Martial Art ,"22-2, Jalan SL1/12, Bandar Sungai Long, Kajang, 43000 Kajang, Malaysia",3.042203,101.791687,5.0,""
Kuala-lumpur,Inner Melody Studio ,"No 13-2, Jln BS 10/6, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor",3.038724,101.697296,5.0,60176886696
Kuala-lumpur,Allied Combat Sports ,"A-2-2 Plaza Damas, Parklane Walk Shop Office, Jalan Sri Hartamas 1, Sri Hartamas, 50480 KL",3.16403,101.655206,5.0,""
Kuala-lumpur,Roots Holistic Yoga ,"Lot S20, 2nd Floor, Mediplex Subang Jaya Medical Centre, Jalan SS12/1A, 47500 Subang Jaya, Selangor, Malaysia",3.078405,101.593617,4.8,60182022217
Kuala-lumpur,Afterburn Studio ,"18-1, Jalan Telawi 3, Bangsar Baru, 59100, Kuala Lumpur",3.1317831,101.6710852,4.8,""
Kuala-lumpur,Skateline Malaysia ,"Taman Rekreasi Lembah Kiara , Jalan Haji Open , Taman Tun Dr. Ismail , 60000 Kuala Lumpur.",3.1461,101.6255,4.8,60379325758
Kuala-lumpur,Ispirit Asia ,"B-5-12, One South Street Mall, Jln OS, Taman Serdang Perdana, 43300 Seri Kembangan, Selangor, Malaysia",3.043543,101.705992,4.8,601111844184
Kuala-lumpur,Flykidz Gymnastics ,"No 1-3, Jalan Solaris 3, Mont Kiara, 50480, Kuala Lumpur, Wilayah Persekutuan, 50480, Malaysia",3.175011,101.659753,4.8,60362037939
Kuala-lumpur,Aphrodite Movement ,"E-22-5, Casa Tropicana Condominium, Persiaran Tropicana, Tropicana Golf and Country Resort, 47410 Petaling Jaya, Selangor",3.13017,101.58374,4.8,60189081151
